title,author,isbn,isbn13,year_published,publisher,pages,average_rating,description,genres,source,goodreads_id,google_id,user_rating,ratings_count,categories,read_status,date_read,popularity_score,recommendation_features
The River Is Waiting,Wally Lamb,1668006391,9781668006399,2025,S&S/ Marysue Rucci Books,466,4.38,,['Fiction'],goodreads_export,219319489,,0,0,[],currently-reading,,63.8,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': True, 'short_book': False, 'highly_rated': True, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Nobody Knows You're Here: A Psychological Suspense Thriller,Bryn Greenwood,,9798895392010,2025,Podium Publishing,337,4.4,,['Thriller'],goodreads_export,229789057,,5,0,[],read,2025/09/17,89.0,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': True, 'popular': False, 'user_favorite': True, 'award_potential': False}"
Ring Shout,P. Djèlí Clark,1250767016,9781250767011,2020,Tor.com,172,3.97,,['Fiction'],goodreads_export,50687822,,2,0,[],read,2025/09/16,54.7,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Tell Me I'm Worthless,Alison Rumfitt,1250866243,9781250866240,2023,Tor Nightfire,265,3.5,,['Fiction'],goodreads_export,61112616,,1,0,[],read,2025/09/14,54.0,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Red Womb: An Extreme Horror Story,C.M. Guidroz,,,2025,nan,53,3.91,,['Horror'],goodreads_export,228392739,,2,0,[],read,2025/09/11,69.1,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Blender Babies,Jon Athan,,,2023,nan,364,3.89,,['Fiction'],goodreads_export,123912984,,4,0,[],read,2025/09/09,72.9,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
Seed,Ania Ahlborn,1612187684,9781612187686,2012,47North,246,3.8,,['Fiction'],goodreads_export,16060814,,4,0,[],read,2025/09/07,58.0,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
The Winter People,Jennifer  McMahon,0385538499,9780385538497,2014,Doubleday,317,3.82,,['Fiction'],goodreads_export,18007535,,4,0,[],read,2025/08/29,58.199999999999996,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
The Intruders,Louise Jensen,0008508542,9780008508548,2024,HQ,448,3.93,,['Fiction'],goodreads_export,197717437,,4,0,[],read,2025/08/24,76.30000000000001,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': True, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
A Welcome Reunion,Lucinda Berry,1662516681,9781662516689,2023,Amazon Original Stories,82,3.54,,['Fiction'],goodreads_export,174670409,,4,0,[],read,2025/08/24,69.4,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
Into the Wolves' Den,Jon Athan,,,2019,nan,315,4.01,,['Fiction'],goodreads_export,46216210,,5,0,[],read,2025/08/22,65.1,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': True, 'popular': False, 'user_favorite': True, 'award_potential': False}"
20th Century Ghosts: Stories,Joe Hill,0063374935,9780063374935,2025,William Morrow Paperbacks,336,3.9,,['Horror'],goodreads_export,221714632,,0,0,[],to-read,,59.0,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Lovesick,Jon Athan,,,2019,nan,195,3.41,,['Romance'],goodreads_export,44076851,,3,0,[],read,2025/08/20,49.1,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Come Closer,Sara Gran,0425210316,9780425210314,2006,Berkley Trade,194,3.66,,['Fiction'],goodreads_export,220772,,4,0,[],read,2025/08/17,56.6,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
Things Have Gotten Worse Since We Last Spoke and Other Misfortunes,Eric LaRocca,,,2022,Titan Books,283,3.18,,['Fiction'],goodreads_export,60133975,,4,0,[],read,2025/08/14,62.8,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
Theme Music,T. Marie Vandelly,1524744700,9781524744700,2019,Dutton Books,387,3.74,,['Fiction'],goodreads_export,42845404,,4,0,[],read,2025/08/13,57.400000000000006,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
Suffer the Children,Craig DiLouie,,,2014,Gallery Books,353,3.98,,['Fiction'],goodreads_export,20165178,,0,0,[],currently-reading,,39.8,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Unspeakable Things,Jess Lourey,154200876X,9781542008761,2020,Thomas & Mercer,296,3.79,,['Fiction'],goodreads_export,44323551,,3,0,[],read,2025/08/05,57.9,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
"The Girl with All the Gifts (The Girl With All the Gifts, #1)",M.R. Carey,0356500152,9780356500157,2014,Orbit,461,3.95,,['Fiction'],goodreads_export,17235026,,0,0,[],currently-reading,,39.5,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': True, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Mapping the Interior,Stephen Graham Jones,,,2017,Tor.com,131,3.62,,['Fiction'],goodreads_export,31189134,,2,0,[],read,2025/07/23,46.2,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
A Head Full of Ghosts,Paul Tremblay,0062363239,9780062363237,2015,William Morrow,287,3.78,,['Horror'],goodreads_export,23019294,,3,0,[],read,2025/07/22,52.8,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Diavola,Jennifer Marie Thorne,,,2024,Tor Nightfire,296,3.83,,['Fiction'],goodreads_export,126918202,,0,0,[],to-read,,55.3,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Dark Sisters,Kristi DeMeester,1250286816,9781250286819,2025,St. Martin's Press,336,4.23,,['Horror'],goodreads_export,222376679,,0,0,[],to-read,,62.300000000000004,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': True, 'popular': False, 'user_favorite': False, 'award_potential': False}"
House of Rayne,Harley Laroux,1496756835,9781496756831,2025,Kensington,416,4.45,,['Fiction'],goodreads_export,231029345,,0,0,[],to-read,,64.5,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': True, 'short_book': False, 'highly_rated': True, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Blood Trail,Brad Preston,,,2025,Rogue Press,428,3.73,,['Horror'],goodreads_export,228052094,,0,0,[],to-read,,57.3,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': True, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Pretty Girls,Karin Slaughter,0063471663,9780063471665,2025,William Morrow Paperbacks,432,4.01,,['Fiction'],goodreads_export,228870370,,0,0,[],to-read,,60.099999999999994,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': True, 'short_book': False, 'highly_rated': True, 'popular': False, 'user_favorite': False, 'award_potential': False}"
"The Black Farm (The Black Farm, #1)",Elias Witherow,,,2017,nan,325,3.92,,['Fiction'],goodreads_export,35396201,,5,0,[],read,2025/07/14,64.2,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
The Intruder,Freida McFadden,1464260915,9781464260919,2025,Poisoned Pen Press,288,4.38,,['Fiction'],goodreads_export,231819058,,0,0,[],to-read,,63.8,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': True, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Killer on the Road / The Babysitter Lives,Stephen Graham Jones,198216767X,9781982167677,2025,S&S/Saga Press,460,3.73,,"['Horror', 'Thriller']",goodreads_export,220161341,,0,0,[],to-read,,57.3,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': True, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Penpal,Dathan Auerbach,098554550X,9780985545505,2012,1000Vultures,242,3.86,,['Fiction'],goodreads_export,14578407,,4,0,[],read,2025/07/10,58.6,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
We Live Here Now,Sarah Pinborough,1250394058,9781250394057,2025,Flatiron Books: Pine & Cedar,291,3.74,,['Fiction'],goodreads_export,219833105,,5,0,[],read,2025/07/08,82.4,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
"At Dark, I Become Loathsome",Eric LaRocca,,,2025,Blackstone Publishing,178,3.26,,['Horror'],goodreads_export,210906882,,5,0,[],read,2025/07/06,77.6,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
The End of Men,Christina Sweeney-Baird,0385696639,9780385696630,2021,Doubleday Canada,416,3.77,,['Fiction'],goodreads_export,53717123,,4,0,[],read,2025/07/05,65.7,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': True, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
The Apartment Across the Hall,Jack Dane,,,2025,Back Alley Press,230,3.63,,['Fiction'],goodreads_export,221173866,,3,0,[],read,2025/07/03,71.3,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Your Shadow Half Remains,Sunny Moraine,1250892201,9781250892201,2024,Tor Trade,163,3.32,,['Fiction'],goodreads_export,127281430,,2,0,[],read,2025/06/29,60.199999999999996,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
One of Our Own,Lucinda Berry,,,2024,Simon & Schuster Audio Originals,4,3.87,,['Fiction'],goodreads_export,203146256,,4,0,[],read,2025/06/23,75.7,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
The Girl Next Door,Jack Ketchum,,,2005,Leisure Books,370,3.92,,['Fiction'],goodreads_export,8615931,,4,0,[],read,2025/06/21,59.2,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
