title,author,isbn,isbn13,year_published,publisher,pages,average_rating,ratings_count,description,categories,genres,source,google_id,goodreads_id,user_rating,user_read_date,user_shelves,popularity_score
The Guide to United States Popular Culture,"Ray Broadus Browne, Pat Browne",0879728213,9780879728212,2001,Popular Press,1030,5.0,11,"""To understand the history and spirit of America, one must know its wars, its laws, and its presidents. To really understand it, however, one must also know its cheeseburgers, its love songs, and its lawn ornaments. The long-awaited Guide to the United States Popular Culture provides a single-volume guide to the landscape of everyday life in the United States. Scholars, students, and researchers will find in it a valuable tool with which to fill in the gaps left by traditional history. All American readers will find in it, one entry at a time, the story of their lives.""--Robert Thompson, President, Popular Culture Association. ""At long last popular culture may indeed be given its due within the humanities with the publication of The Guide to United States Popular Culture. With its nearly 1600 entries, it promises to be the most comprehensive single-volume source of information about popular culture. The range of subjects and diversity of opinions represented will make this an almost indispensable resource for humanities and popular culture scholars and enthusiasts alike.""--Timothy E. Scheurer, President, American Culture Association ""The popular culture of the United States is as free-wheeling and complex as the society it animates. To understand it, one needs assistance. Now that explanatory road map is provided in this Guide which charts the movements and people involved and provides a light at the end of the rainbow of dreams and expectations.""--Marshall W. Fishwick, Past President, Popular Culture Association Features of The Guide to United States Popular Culture: 1,010 pages 1,600 entries 500 contributors Alphabetic entries Entries range from general topics (golf, film) to specific individuals, items, and events Articles are supplemented by bibliographies and cross references Comprehensive index",['Social Science'],"['Horror', 'Thriller', 'Social Science']",horror,U3rJxPYT32MC,,0,,[],12.425
Coma,Robin Cook,0451211421,9780451211422,2003,NAL,404,3.5,21,"Robin Cook is the author -- and Coma is the book -- for which the term medical thriller was first used. It's a spine-chilling shocker about a crime beyond imagining and the committed young medical student who brings it to light.The surgery was routine -- the kind performed many times a day at Boston's most prestigious hospital. The teams that worked in OR #8 were among the best in the world. But even their incredible skill couldn't make up for what was happening around them. Several patients, admitted to the hospital for minor surgery, never awoke. For some inexplicable reason, their brains had been destroyed.",['Fiction'],"['Suspense', 'Thriller', 'Fiction']",suspense,hPYJ6OFpE98C,,0,,[],10.819
Night Shift,Stephen King,0385528841,9780385528849,2008,Vintage,370,3.5,17,"#1 BESTSELLER • A collection of bone-chilling, nail-biting tales from the undisputed master of horror that showcases the darkest depths of his brilliant imagination and will ""chill the cockles of many a heart"" (Chicago Tribune).• INCLUDES THE STORY “THE BOOGEYMAN” – NOW A MAJOR MOTION PICTURE FROM 20th CENTURY STUDIOS Originally published in 1978, Night Shift is the inspiration for over a dozen acclaimed horror movies and television series, including Children of the Corn, Chapelwaite, and Lawnmower Man. Night Shift is Stephen King's first collection of short stories--a perfect showcase of just how far King's dark imagination can go. Here we see mutated rats gone bad (""Graveyard Shift""); a cataclysmic virus that threatens humanity (""Night Surf,"" the basis for The Stand); a possessed, evil lawnmower (""The Lawnmower Man""); unsettling children from the heartland (""Children of the Corn""); a smoker who will try anything to stop (""Quitters, Inc.""); a reclusive alcoholic who begins a gruesome transformation (""Gray Matter""); and many more. This is Stephen King at his horrifying best.",['Fiction'],"['Horror', 'Thriller', 'Fiction']",horror,YTDDiSUsD-EC,,0,,[],10.116
Imajica,Clive Barker,0061745014,9780061745010,2009,Harper Collins,900,4.5,7,"""Rich in plot twists, byzantine intrigues and hidden secrets, Imajica is a Chinese puzzle box constructed on a universal scale. . . Barker has an unparalleled talent for envisioning other worlds."" — Washington Post Book World From master storyteller Clive Barker comes an epic tale of myth, magic, and forbidden passion Imajica is an epic beyond compare: vast in conception, obsessively detailed in execution, and apocalyptic in its resolution. At its heart lies the sensualist and master art forger, Gentle, whose life unravels when he encounters Judith Odell, whose power to influence the destinies of men is vaster than she knows, and Pie 'oh' pah, an alien assassin who comes from a hidden dimension. That dimension is one of five in the great system called Imajica. They are worlds that are utterly unlike our own, but are ruled, peopled, and haunted by species whose lives are intricately connected with ours. As Gentle, Judith, and Pie 'oh' pah travel the Imajica, they uncover a trail of crimes and intimate betrayals, leading them to a revelation so startling that it changes reality forever.",['Fiction'],"['Splatter-punk', 'Horror']",splatterpunk,Vteag08yIDAC,,0,,[],9.357
Crisis,Robin Cook,0399153578,9780399153570,2006,Penguin,488,4.5,6,"Shocked and humiliated by a medical malpractice lawsuit, physician Craig Bowman receives help from his estranged brother-in-law, medical examiner Jack Stapleton, who discovers trouble after exhuming the body of Craig's alleged victim.",['Fiction'],"['Suspense', 'Thriller', 'Fiction']",suspense,0BUzNLy3HAsC,,0,,[],8.757
It,Stephen King,1982127791,9781982127794,2019,Scribner,1168,5.0,4,"Stephen King's classic #1 New York Times bestseller and the basis for the massively successful films It: Chapter One and It: Chapter Two as well as inspiration for HBO Max’s upcoming Welcome to Derry—about seven adults who return to their hometown to confront a nightmare they had first stumbled upon as teenagers...an evil without a name: It. Welcome to Derry, Maine. It’s a small city, a place as hauntingly familiar as your own hometown. Only in Derry the haunting is real. They were seven teenagers when they first stumbled upon the horror. Now they are grown-up men and women who have gone out into the big world to gain success and happiness. But the promise they made twenty-eight years ago calls them reunite in the same place where, as teenagers, they battled an evil creature that preyed on the city’s children. Now, children are being murdered again and their repressed memories of that terrifying summer return as they prepare to once again battle the monster lurking in Derry’s sewers. Readers of Stephen King know that Derry, Maine, is a place with a deep, dark hold on the author. It reappears in many of his books, including Bag of Bones, Hearts in Atlantis, and 11/22/63. But it all starts with It. “Stephen King’s most mature work” (St. Petersburg Times), “It will overwhelm you…to be read in a well-lit room only” (Los Angeles Times).",['Fiction'],['Mystery'],mystery,iCWgDwAAQBAJ,,0,,[],8.047
The Year's Best Science Fiction: Twenty-Fifth Annual Collection,Gardner Dozois,142998371X,9781429983716,2008,St. Martin's Griffin,706,4.0,6,"In the new millennium, what secrets lay beyond the far reaches of the universe? What mysteries belie the truths we once held to be self evident? The world of science fiction has long been a porthole into the realities of tomorrow, blurring the line between life and art. Now, in The Year's Best Science Fiction Twenty-Fifth Annual Collection the very best SF authors explore ideas of a new world. This venerable collection of short stories brings together award winning authors and masters of the field such as Robert Reed, Ian McDonald, Stephen Baxter, Michael Swanwick, Paolo Bacigalupi, Kage Baker, Walter Jon Williams, Alastair Reynolds, and Charles Stross. And with an extensive recommended reading guide and a summation of the year in science fiction, this annual compilation has become the definitive must read anthology for all science fiction fans and readers interested in breaking into the genre. ""This venerable annual’s twenty-fifth edition represents a milestone for editor Dozois. He has kept faith with the series for a quarter-century without ever shortchanging, or even showing any signs of shortchanging, readers on either quality or abundance of selections.""--Booklist",['Fiction'],"['Horror', 'Thriller', 'Fiction']",horror,KEwpbLITuDcC,,0,,[],7.784
Oddkins,"Dean Koontz, Christopher Zavisa",1453265902,9781453265901,2012,Open Road Media,272,2.5,17,"The #1 New York Times–bestselling author’s visually stunning story about a magical band of living toys who learn to overcome their fears. Toymaker Isaac Bodkins created the Oddkins, a group of living toys, for very special children who face difficulties in life and need true friends. There’s Amos, the brave stuffed bear; Skippy, the rabbit who dreams of being a superstar; Butterscotch, the gentle, floppy-eared pup; Burl the elephant; the wise and scholarly Gibbons; and Patch the cat. The Oddkins are given to children to inspire, support, and love them, especially during times of adversity. Only now, the toys themselves are the ones who need help. Before he dies, Mr. Bodkins delivers a dire warning to Amos the bear: Watch out for an evil toymaker and his dangerous creations! Locked up in the dark sub-basement, another group of toys is climbing out of boxes and crates and coming to life as well. These bad toys—like Rex and Lizzie, the puppets with no strings; Gear, the vicious robot; and Stinger, the horrid buzzing bumblebee with his knife-sharp stinger—were made to hurt children, not help them. Leering, laughing, and deadly, they are let loose into the world by a terrifying force. Frightening as it may be, the Oddkins must go on a journey to find Colleen Shannon, Mr. Bodkins’s chosen successor as a life-giving toymaker and the only person who can save them. The stormy night is perilous and the Oddkins face a danger that threatens not only their magic . . . but the magic in us all.",['Juvenile Fiction'],"['Suspense', 'Thriller', 'Juvenile Fiction']",suspense,gM6so7fClz8C,,0,,[],7.226
The Occult World,Christopher Partridge,1317596765,9781317596769,2014,Routledge,781,4.0,5,"This volume presents students and scholars with a comprehensive overview of the fascinating world of the occult. It explores the history of Western occultism, from ancient and medieval sources via the Renaissance, right up to the nineteenth and twentieth centuries and contemporary occultism. Written by a distinguished team of contributors, the essays consider key figures, beliefs and practices as well as popular culture.",['Religion'],"['Splatter-punk', 'Horror']",splatterpunk,_E-2BQAAQBAJ,,0,,[],7.167
East Bound,Nana Malone,,,2021,Sankofa Girl,324,5.0,3,"Dive into this explosive action packed secret suspense romance. Some say I can be ruthless. Nyla Kincaid is about to find out. I allowed her to get too close and in the end, she burned me. To keep the secrets of the Elite, I seduced her. The distraction worked, but like a moth to a flame, I singed my wings. She will pay for my mistake. And I will never repeat it. Meting out my revenge will be so sweet. And this time, I will not take care with her heart. ***** East Bound is book 5 in the London Lords Trilogy a romance heist thriller written, by USA Today and Walls Street Journal Bestselling Author, Nana Malone. Fans of the following authors are enjoy this series: Brittany Sahin Ember Casey Rina Kent Meli Raine Dianna Love Lisa Lang Blakeney Theodora Taylor Kenya Wright Minx Malone Susan Stoker Kathleen Brooks Ivy Smoak Penny Reid Alessandra Torre Julia Kent Michelle Love Coleen Hoover Katee Robert Skye Warren K Webster EL James Ally Carter Sexy Timms Riley Edwards Caitlyn O'Leary Maryann Jordan Dale Mayer Lynn Raye Harris Cat Johnson Alexis Abbott Nicole Elliot Lori Ryan Meghan March Kristin Ashley Kris Michaels Catherine Cowles Lexi Blake Lani Lynn Vale, JS Scott Danielle Allen Topics: heist thriller, romantic suspense, contemporary romance, new adult romance, royal intrigue, coming of age romance, seductive story, thriller, mystery, romantic mystery, hot romance, women's fiction, women's romance, second chance romance, london romance, interracial romance, billionaire romance, college romance, contemporary woman, usa today bestseller, intrigue, special ops romance, jewel heist, secret society romance, free books to read and download, romance novels full free book, thriller, thriller romance, contemporary romance, new adult romance, romantic suspense, coming of age romance, seductive story, thriller, mystery, romantic mystery, hot romance, women's fiction, women's romance, second chance romance, british romance, bwwm romance, military romance, college romance, contemporary woman, usa today bestseller, intrigue, special ops romance, billionaire romance, interracial romance, interracial romantic suspense, alpha male romance, billionaire romance, contemporary romance, young adults romance, bad boy romance, romance short stories, second chance romance, steamy romance, hot romance books, love story, office romance, boss romance, beach reads, new adult, romantic fiction, romance fiction books, bwwm, bwwm romance, bwwm interracial romance books, african american romance, black authors books, interracial romance books, black women books, african american books, billionaire romance books, contemporary romance books, romance stories, fiction books, romance novels steamy, romance novel, books romance, romance, adult romance novels, romance books hot, alpha male romance books, steamy romance books, books romance hot, romance novels to read, love story books",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,gdYDEAAAQBAJ,,0,,[],6.931
